,样本量,均值,标准差,最小值,25%,中位数,75%,最大值
Digital,300.0,1.715,0.8791,0.0,1.0986,1.7918,2.3979,3.2189
digital_total,300.0,6.7867,6.0384,0.0,2.0,5.0,10.0,24.0
digital_ratio,300.0,0.0343,0.0211,0.0,0.0175,0.035,0.0501,0.0764
roa,300.0,0.0222,0.0233,-0.0466,0.0066,0.0212,0.0361,0.0905
revenue_growth,300.0,0.0887,0.0814,-0.1208,0.0338,0.0891,0.1411,0.2975
ln_size,300.0,23.1066,1.2153,21.005,22.1105,23.045,24.1882,25.201
leverage,300.0,0.4363,0.1229,0.1919,0.3289,0.4396,0.5282,0.6971
firm_age,300.0,16.0167,6.1435,5.0,11.0,16.0,21.25,28.0
